Transaction_ID,Product_ID,Quantity,Price,Transaction_Date
a55d17bf-b4dd-4279-a8dd-6e87f668be54,186,10,93.7,2024-07-25
0eda376f-d9b0-4c4b-b79f-c9f37fb0f566,181,5,81.92,2024-10-11
e59c48a0-b233-414e-b246-a852f44b9878,173,1,46.8,2024-07-04
fa132395-8bbe-485a-9b24-cd7d6d4670b5,167,1,61.34,2024-04-25
c616a4df-a904-480a-ba46-19e444933bb4,160,4,60.48,2024-05-30
f958d29a-b5fa-4743-97a6-274c5712b72e,160,8,38.95,2024-06-14
520bc6b3-13b7-4db3-a720-f28c12edab6a,169,8,50.87,2023-12-27
2a57b9bf-747f-43a6-8073-67f0f2ea0dfb,163,2,57.67,2024-06-02
572d7cf1-ba50-4688-b3a6-f38063fdf2d6,175,10,83.67,2024-07-07
7dc7a315-e224-4e36-908b-8080ce7a7cc5,170,7,93.03,2023-12-19
21ad593f-37ab-4627-b4bb-c0f05c7d0204,160,4,20.83,2024-01-23
9c446b01-15cf-4c4f-b89f-8f8eb09e0072,126,10,72.54,2024-10-09
a5752abe-a611-40ca-9c6f-cd5507288cfa,152,2,23.18,2024-06-02
184345db-b7ef-42c7-9b1d-0249a42758ff,165,6,26.28,2024-04-22
19639e71-5713-45a7-9fd1-527b90c5d79b,180,8,80.11,2023-12-29
4960ec2d-02b8-4966-84ce-6f655a7a5145,152,8,43.53,2024-05-13
873fb49e-17c3-496c-98f9-9f144bec47eb,193,10,12.74,2024-10-20
0f2fe070-01e3-46e0-bc23-324a1cb29ccb,162,8,77.48,2024-07-19
74e77771-1797-4b34-adfb-5cdce6d2ee27,169,7,15.96,2024-10-02
a3dfcf93-b97e-4bfa-a2ee-ed4ad7749a25,191,9,86.48,2024-01-13
60d23a5c-d741-485b-a9d3-927462cc78ff,106,10,80.66,2024-01-25
2c8d2cb6-60b4-406c-982d-21b63876c905,107,4,23.35,2024-09-26
fefba28e-c290-4c1c-9ed7-2085aa1807c3,173,4,70.57,2024-05-24
a8dc30cc-938e-40a4-b17c-a286d684d5bc,191,8,,2024-06-19
f8e7d972-c597-4dcd-9aa1-795d11f65ecb,111,9,40.13,2023-12-19
08de9716-46de-4b3e-86e0-1806c75d8204,166,1,40.78,2024-11-04
e3f5d273-8c8a-4b58-8739-cdd7a836f986,113,10,94.68,2024-05-20
5ed02210-1775-4dd5-ad0a-d2ae1b5dd5f1,132,8,,2024-07-17
2904e173-c657-43c3-a790-489f47dd9b6f,144,2,51.11,2024-07-14
6d715abe-9548-4e6f-8d12-b5175c120429,159,6,10.04,2024-01-30
e596870d-bc15-46a1-b64d-02df6aaeab8a,180,3,67.64,2024-02-09
44f2e504-29d8-4046-bf49-719fa7b4166e,160,6,90.8,2024-02-06
612fcbae-979f-4a38-9a60-925d9e32b1a1,164,5,51.97,2024-02-26
4de2632d-134b-4976-ae84-4988c321b830,122,7,68.87,2024-08-31
fab49f22-1228-4e0e-8fb7-48ca34b843bd,143,9,,2024-07-09
f19924f1-b75d-4dfd-b8ae-fc80e6b10ab8,168,1,92.09,2023-12-12
3ee49d5d-9630-4555-896a-318444167839,188,9,89.68,2024-01-20
b53e4355-6739-4084-b6e4-bb83226f4c60,180,5,64.69,2024-02-14
177534e6-1d33-449d-b9c9-40d022654df6,100,9,67.17,2024-09-30
2e0e2f8d-1775-4a79-b5d1-a6af73db52f3,157,8,33.05,2024-09-16
c359a504-4169-41e2-94da-912c41a16507,110,6,19.1,2024-04-08
29781cb3-5a62-4286-af23-a86d1b49cca0,142,9,59.67,2024-10-20
847d1f85-6981-4dcd-ab92-5030f0c6bf8f,154,6,66.63,2024-11-18
ad40005f-2453-4ff1-8f49-684d7a65872a,179,5,35.46,2024-11-28
79905384-31e6-4877-b76c-d540370a7719,126,2,54.09,2024-10-01
953b445b-43da-4e3c-82b3-a47004ee6de0,120,2,56.93,2024-01-18
b2391a6a-9257-4f2a-9b2a-e807ea444e92,132,8,46.56,2024-07-11
3e09a09c-775a-4e48-bee6-69026d28f039,146,4,,2024-03-19
c281efda-3dbc-4927-af2c-7adaa2368e77,165,6,39.01,2024-06-17
47c12836-a188-4a18-8e33-ddf82619c2ec,123,7,46.31,2024-02-05
3ffd88cd-9d8b-4175-b911-73bebaf4e6c7,190,5,20.68,2024-06-03
da2efc3f-ca09-4c7b-8001-7f7f81314453,196,8,27.05,2024-07-05
a541300c-7b47-4b63-8d2a-d5b7f1eb2c73,155,7,23.91,2024-08-19
f1b22c8f-26ad-457e-aa81-2196cac85009,134,4,90.38,2024-08-26
7b6c8cfc-637e-4004-969f-b69e8f9b3d36,193,4,39.34,2024-09-24
a0e762b5-018a-4ec2-80af-8c99fd887fcf,164,9,58.26,2024-08-24
c0c01d0d-ca61-4fbc-945f-0c0e4991f78b,165,1,25.53,2024-09-09
e4aebc7b-12ea-4b55-b02f-fff6514ed372,126,1,26.49,2024-03-26
30a774b5-9c6a-4012-aec8-419312a4692d,177,3,40.07,2024-11-28
e7da5519-03c5-4b4a-a868-89340ca7a91c,164,1,56.78,2024-08-05
625c5e5a-ce70-4952-b7a7-b0f371154fb0,141,6,48.88,2024-04-16
